step,tag,value,run
58304,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L64P__seed_9_1760928333
61344,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L64P__seed_9_1760928333
64384,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PCB2L64P__seed_9_1760928333
67424,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L64P__seed_9_1760928333
70464,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L64P__seed_9_1760928333
73504,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
76544,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L64P__seed_9_1760928333
79584,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L64P__seed_9_1760928333
82624,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
85664,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L64P__seed_9_1760928333
88704,0-Episodic-Stats/episodic_length,195.3333282470703,Pong1PCB2L64P__seed_9_1760928333
91744,0-Episodic-Stats/episodic_length,179.5,Pong1PCB2L64P__seed_9_1760928333
140928,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
143968,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
147008,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
150048,0-Episodic-Stats/episodic_length,84.5,Pong1PCB2L64P__seed_9_1760928333
153088,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
156128,0-Episodic-Stats/episodic_length,155.75,Pong1PCB2L64P__seed_9_1760928333
159168,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L64P__seed_9_1760928333
162208,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
165248,0-Episodic-Stats/episodic_length,108.25,Pong1PCB2L64P__seed_9_1760928333
168288,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L64P__seed_9_1760928333
171328,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L64P__seed_9_1760928333
174368,0-Episodic-Stats/episodic_length,100.33333587646484,Pong1PCB2L64P__seed_9_1760928333
177408,0-Episodic-Stats/episodic_length,227.0,Pong1PCB2L64P__seed_9_1760928333
208352,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L64P__seed_9_1760928333
214432,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
217472,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L64P__seed_9_1760928333
220512,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L64P__seed_9_1760928333
223552,0-Episodic-Stats/episodic_length,37.0,Pong1PCB2L64P__seed_9_1760928333
226592,0-Episodic-Stats/episodic_length,179.5,Pong1PCB2L64P__seed_9_1760928333
232672,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
235712,0-Episodic-Stats/episodic_length,132.0,Pong1PCB2L64P__seed_9_1760928333
